frame,time_s,track_id,class_name,world_x,world_y,occluded,lane,headway_m,lead_track_id,speed_mps,matched_vehicle_id,gt_speed_mps,gt_headway_m,dist_m
906,90.5999094,11,truck,509.0958085018675,8.076670039345583,False,2.0,27.714114614160735,13.0,4.479256913551126,225.0,16.608552000000003,30.864048000000004,2.1197186324897177
907,90.6999093,11,truck,509.4232572150737,8.084358512884332,False,2.0,29.003722510994407,13.0,4.240889637558212,,,,
908,90.7999092,11,truck,509.8303186776996,8.09268415783978,False,2.0,30.27161978712144,13.0,3.8862523748221065,,,,
909,90.8999091,11,truck,510.3015359981827,8.101832393464564,False,2.0,31.52716339800014,13.0,3.9181983630378454,,,,
910,90.999909,11,truck,510.6853419324189,8.110367334960545,False,2.0,32.915949777119295,13.0,3.9648292693668736,,,,
911,91.0999089,11,truck,511.06425974534943,8.118996826349496,False,2.0,33.60612359647689,13.0,3.958848544113153,,,,
912,91.1999088,11,truck,511.37300041643147,8.127185887188638,False,2.0,,,3.9786245126088033,,,,
913,91.2999087,11,car,511.8454007808791,8.137005104860892,False,2.0,,,4.156660323855249,,,,
914,91.3999086,11,truck,512.2452984802677,8.146251309604772,False,2.0,,,4.350699378866466,,,,
915,91.4999085,11,car,512.7201999843179,8.15635591609135,False,2.0,,,4.494974444513446,,,,
916,91.5999084,11,truck,513.1860578606452,8.16652614867844,False,2.0,,,4.658927953652892,,,,
917,91.6999083,11,truck,513.601897329303,8.176373122539136,False,2.0,,,4.793742241252858,,,,
918,91.7999082,11,truck,514.1114738175465,8.187327385512148,False,2.0,,,4.908231789774618,,,,
919,91.8999081,11,truck,514.6381487383247,8.19838314858281,False,2.0,,,5.122019803451167,,,,
920,91.999908,11,truck,515.1210871737717,8.209171915814506,False,2.0,,,5.261427573837864,,,,
921,92.0999079,11,truck,515.693397552735,8.221082197632683,False,2.0,,,5.3315076732292255,,,,
922,92.1999078,11,truck,516.2165723186446,8.233033415660522,False,2.0,,,5.5185181280003235,,,,
923,92.2999077,11,truck,516.7582211406145,8.245195439244613,False,2.0,,,5.700011726657522,,,,
924,92.3999076,11,car,517.3229037569791,8.257721451431197,False,2.0,,,5.822519739490417,,,,
925,92.4999075,11,truck,517.9548447646,8.270855182983354,False,2.0,,,6.016147065723544,,,,
926,92.5999074,11,truck,518.5596459885517,8.284548539211771,False,2.0,,,6.215162828017583,,,,
927,92.6999073,11,car,519.1728377997986,8.298093716225111,False,2.0,,,6.401383875597276,,,,
928,92.7999072,11,truck,519.818096709037,8.31203225929067,False,2.0,,,6.621726532747289,,,,
929,92.8999071,11,car,520.4781848014114,8.326210537887599,False,2.0,,,6.869943142614829,,,,
