frame,time_s,track_id,class_name,world_x,world_y,occluded,lane,headway_m,lead_track_id,speed_mps
935,93.4999065,3,truck,348.5715865785244,3.950528722275799,False,0.0,,,7.145346720797306
936,93.5999064,3,truck,349.3116440483504,3.9414243838244873,False,0.0,,,7.159806703366485
937,93.6999063,3,truck,350.1226641692889,3.9362015386050886,False,0.0,,,7.321774133314875
938,93.7999062,3,truck,350.8219743824173,3.9419927244972657,False,0.0,,,7.128455609022694
939,93.8999061,3,truck,351.48907941478706,3.9479423932061475,False,0.0,,,7.504933694688589
940,93.999906,3,truck,352.31257205114963,3.957677833114165,False,1.0,,,8.23493459856031
900,89.99991,4,truck,306.1622526953643,6.3410299913288375,False,1.0,18.65818882130054,13,5.585104814221763
901,90.0999099,4,truck,306.720762618276,6.360942238054609,False,1.0,30.04622782695077,10,6.613107061706614
902,90.1999098,4,truck,307.38726881459945,6.398962401101346,False,1.0,30.38164690888931,10,7.488204986790379
903,90.2999097,4,truck,308.1810997022279,6.427527661529346,False,1.0,30.808466955783388,10,7.587443745569544
904,90.3999096,4,truck,308.97298009495347,6.461738807538938,False,1.0,31.237950833743355,10,7.9508377986119285
905,90.4999095,4,truck,309.82989935990855,6.494558367527753,False,1.0,31.500094790312744,10,8.107234831794813
906,90.5999094,4,truck,310.64055211185746,6.524220970261476,False,1.0,31.89905333805922,10,8.240306466796255
907,90.6999093,4,truck,311.41830916879235,6.571231578891009,False,1.0,32.38017384198048,10,8.361012308955878
908,90.7999092,4,truck,312.25728607259526,6.6007465274715,False,1.0,32.74286080035972,10,8.525263181455784
909,90.8999091,4,truck,313.1370919510758,6.650359467589194,False,1.0,33.138060015590156,10,8.809898728215785
910,90.999909,4,truck,314.02679145172993,6.6680549097164965,False,1.0,33.62369082869537,10,10.118325026655612
911,91.09990889999999,4,truck,314.96891467622874,6.724080350184635,False,1.0,34.12958017483925,10,11.323866350218395
912,91.19990879999999,4,truck,315.89983652273804,6.780232563670271,False,1.0,34.63550751608199,10,9.54889542266858
914,91.39990859999999,4,truck,317.8940736269794,6.9109698971936355,False,1.0,35.53791988145463,10,10.067462201953731
915,91.49990849999999,4,truck,318.8241594230427,6.899456704534688,False,1.0,36.160564758193914,10,12.387205840030902
916,91.59990839999999,4,truck,319.92517918518104,6.939445505615458,False,1.0,36.51035694490599,10,11.729291710511916
917,91.69990829999999,4,truck,321.0449068437347,6.975139722921935,False,1.0,36.97520176081133,10,11.054227429953698
918,91.79990819999999,4,truck,322.2110378080571,7.026293027423618,False,1.0,,,11.372258173972341
919,91.89990809999999,4,truck,323.31215232288037,7.078320842352777,False,1.0,,,12.880575412056942
920,91.99990799999999,4,truck,324.4602971028681,7.129272613102571,False,1.0,,,14.41136076411658
921,92.09990789999999,4,truck,325.66128830706975,7.174739400329343,False,1.0,,,12.185223642846381
923,92.29990769999999,4,truck,328.1893602533276,7.256767611492948,False,1.0,,,12.717101019651636
924,92.39990759999999,4,truck,329.47793075122036,7.323542742369764,False,1.0,,,15.50692190435484
925,92.49990749999999,4,truck,330.80021492309675,7.401049887514966,False,1.0,,,14.563799269617448
926,92.59990739999999,4,truck,332.12609767972714,7.4389471886211265,False,2.0,,,13.713046054127972
927,92.69990729999999,4,truck,333.50239412764364,7.4742672077822645,False,2.0,,,14.142600602237053
928,92.79990719999999,4,truck,334.9120391385721,7.540743076419948,False,2.0,,,14.473967423882641
929,92.8999071,4,truck,336.4682842070579,7.6408551946660905,False,2.0,,,14.94134150146806
930,92.999907,4,truck,337.9524479268953,7.693234864783973,False,2.0,,,15.515558541867676
931,93.0999069,4,truck,339.447817625844,7.76059862326451,False,2.0,,,15.936943492353748
932,93.1999068,4,truck,341.12200074165344,7.834843425259457,False,2.0,,,16.470292749556847
